Years,Value
1895,26.69
1895.083333,26.6
1895.166667,39.97
1895.25,52.9
1895.333333,59.94
1895.416667,67.8
1895.5,71.24
1895.583333,71.62
1895.666667,65.57
1895.75,50.85
1895.833333,39.16
1895.916667,31.71
1896,31.48
1896.083333,35.04
1896.166667,38.03
1896.25,52.34
1896.333333,62.46
1896.416667,69.89
1896.5,73.69
1896.583333,72.27
1896.666667,62.94
1896.75,51.91
1896.833333,38.32
1896.916667,35.55
1897,28.17
1897.083333,33.39
1897.166667,38.79
1897.25,51.15
1897.333333,61.18
1897.416667,68.11
1897.5,73.36
1897.583333,71.35
1897.666667,66.4
1897.75,55.11
1897.833333,40.91
1897.916667,30.76
1898,30.67
1898.083333,35.37
1898.166667,41.05
1898.25,50.79
1898.333333,59.94
1898.416667,69.31
1898.5,73.29
1898.583333,72.75
1898.666667,65.46
1898.75,51.49
1898.833333,38.39
1898.916667,28.67
1899,29.68
1899.083333,25.5
1899.166667,37.63
1899.25,50.61
1899.333333,59.9
1899.416667,68.65
1899.5,73.08
1899.583333,71.74
1899.666667,64.8
1899.75,53.98
1899.833333,44.92
1899.916667,31.62
1900,34.11
1900.083333,30.76
1900.166667,41.27
1900.25,51.6
1900.333333,61.74
1900.416667,70.3
1900.5,73.13
1900.583333,72.86
1900.666667,65.14
1900.75,56.35
1900.833333,41.54
1900.916667,34.48
1901,31.62
1901.083333,29.86
1901.166667,40.71
1901.25,49.39
1901.333333,61.18
1901.416667,68.43
1901.5,76.24
1901.583333,73.2
1901.666667,63.25
1901.75,55.45
1901.833333,41.68
1901.916667,31.48
1902,30.06
1902.083333,31.46
1902.166667,41.58
1902.25,50.85
1902.333333,61.99
1902.416667,68.04
1902.5,72.05
1902.583333,71.37
1902.666667,62.76
1902.75,54.43
1902.833333,43.68
1902.916667,30.79
1903,30.88
1903.083333,28.42
1903.166667,42.21
1903.25,50.22
1903.333333,59.54
1903.416667,65.89
1903.5,71.92
1903.583333,70.97
1903.666667,62.73
1903.75,53.94
1903.833333,40.23
1903.916667,30.54
1904,27.55
1904.083333,31.59
1904.166667,41.76
1904.25,49.46
1904.333333,60.13
1904.416667,67.26
1904.5,71.35
1904.583333,70.72
1904.666667,64.96
1904.75,53.92
1904.833333,43.14
1904.916667,32.02
1905,27.1
1905.083333,26.94
1905.166667,45.12
1905.25,50.49
1905.333333,59.14
1905.416667,68
1905.5,71.98
1905.583333,72.37
1905.666667,65.95
1905.75,51.64
1905.833333,42.24
1905.916667,30.99
1906,32.88
1906.083333,33.69
1906.166667,36.1
1906.25,52.72
1906.333333,59.58
1906.416667,67.32
1906.5,72.36
1906.583333,71.85
1906.666667,66.25
1906.75,52.54
1906.833333,40.44
1906.916667,34.97
1907,30.69
1907.083333,35.46
1907.166667,45.7
1907.25,47.53
1907.333333,55.89
1907.416667,65.7
1907.5,72.52
1907.583333,70.79
1907.666667,64.22
1907.75,53.78
1907.833333,40.82
1907.916667,34.7
1908,32.45
1908.083333,33.01
1908.166667,43.92
1908.25,52.75
1908.333333,58.82
1908.416667,66.92
1908.5,73.18
1908.583333,70.68
1908.666667,65.59
1908.75,51.76
1908.833333,42.53
1908.916667,33.31
1909,32.31
1909.083333,35.02
1909.166667,40.35
1909.25,48.96
1909.333333,58.14
1909.416667,68.94
1909.5,72.63
1909.583333,72.93
1909.666667,64.4
1909.75,52.88
1909.833333,45.03
1909.916667,25.61
1910,29.61
1910.083333,29.3
1910.166667,49.44
1910.25,53.62
1910.333333,59.22
1910.416667,68.29
1910.5,74.12
1910.583333,71.11
1910.666667,65.68
1910.75,55.62
1910.833333,41.13
1910.916667,31.93
1911,32.9
1911.083333,33.66
1911.166667,44.02
1911.25,50
1911.333333,61.21
1911.416667,70.75
1911.5,72.68
1911.583333,70.9
1911.666667,66.09
1911.75,52.66
1911.833333,37.27
1911.916667,32.2
1912,24.76
1912.083333,31.08
1912.166667,35.76
1912.25,50.58
1912.333333,60.48
1912.416667,66.7
1912.5,72.25
1912.583333,70.12
1912.666667,62.73
1912.75,53.17
1912.833333,42.21
1912.916667,32.95
1913,30.47
1913.083333,29.5
1913.166667,38.71
1913.25,51.39
1913.333333,60.13
1913.416667,68.22
1913.5,73
1913.583333,73.36
1913.666667,63.64
1913.75,51.64
1913.833333,45.12
1913.916667,33.33
1914,34.5
1914.083333,29.52
1914.166667,40.75
1914.25,51.04
1914.333333,61.14
1914.416667,69.35
1914.5,74.08
1914.583333,71.69
1914.666667,64.58
1914.75,55.24
1914.833333,43.41
1914.916667,26.78
1915,28.44
1915.083333,35.94
1915.166667,36.95
1915.25,54.57
1915.333333,58.17
1915.416667,66.07
1915.5,71.01
1915.583333,70.16
1915.666667,64.42
1915.75,55.35
1915.833333,43.11
1915.916667,33.17
1916,28.22
1916.083333,33.03
1916.166667,42.15
1916.25,50.25
1916.333333,59.31
1916.416667,66.31
1916.5,74.28
1916.583333,71.82
1916.666667,63.5
1916.75,52.14
1916.833333,40.23
1916.916667,28.94
1917,28.27
1917.083333,30.09
1917.166667,38.35
1917.25,48.63
1917.333333,55.13
1917.416667,66.97
1917.5,74.61
1917.583333,71.02
1917.666667,64.09
1917.75,50.41
1917.833333,43.54
1917.916667,29.64
1918,23.86
1918.083333,33.82
1918.166667,45.75
1918.25,49.03
1918.333333,60.8
1918.416667,71.15
1918.5,72.45
1918.583333,72.5
1918.666667,61.92
1918.75,56.17
1918.833333,40.51
1918.916667,34.45
1919,31.82
1919.083333,32.25
1919.166667,40.89
1919.25,51.35
1919.333333,60.03
1919.416667,69.3
1919.5,74.35
1919.583333,72.27
1919.666667,65.64
1919.75,52.59
1919.833333,39.31
1919.916667,28.78
1920,29.23
1920.083333,33.69
1920.166667,40.28
1920.25,46.78
1920.333333,59.31
1920.416667,67.37
1920.5,72.7
1920.583333,70.63
1920.666667,65.44
1920.75,54.63
1920.833333,39.7
1920.916667,33.13
1921,34.36
1921.083333,36.9
1921.166667,46.63
1921.25,51.01
1921.333333,60.1
1921.416667,70.36
1921.5,74.66
1921.583333,72.03
1921.666667,66.54
1921.75,55.35
1921.833333,42.58
1921.916667,35.08
1922,26.8
1922.083333,31.95
1922.166667,40.42
1922.25,50.31
1922.333333,61.18
1922.416667,70.14
1922.5,73
1922.583333,72.81
1922.666667,67.28
1922.75,55.02
1922.833333,41.86
1922.916667,33.55
1923,34.59
1923.083333,29.57
1923.166667,38.3
1923.25,49.91
1923.333333,59.52
1923.416667,68.04
1923.5,73.76
1923.583333,71.11
1923.666667,65.07
1923.75,51.24
1923.833333,42.58
1923.916667,35.98
1924,26.26
1924.083333,35.19
1924.166667,37.18
1924.25,50.27
1924.333333,57.9
1924.416667,68.59
1924.5,71.89
1924.583333,72.07
1924.666667,62.74
1924.75,54.97
1924.833333,42.4
1924.916667,27.59
1925,29.08
1925.083333,38.3
1925.166667,44.24
1925.25,54.72
1925.333333,60.01
1925.416667,69.84
1925.5,74.14
1925.583333,71.4
1925.666667,66.67
1925.75,48.92
1925.833333,40.41
1925.916667,32.5
1926,30.31
1926.083333,37.67
1926.166667,39.65
1926.25,50.04
1926.333333,61.02
1926.416667,68.2
1926.5,73.36
1926.583333,72.34
1926.666667,64.11
1926.75,54.95
1926.833333,40.46
1926.916667,31.33
1927,31.55
1927.083333,37.9
1927.166667,42.26
1927.25,51.58
1927.333333,59.76
1927.416667,67.21
1927.5,72.68
1927.583333,69.37
1927.666667,64.98
1927.75,55.9
1927.833333,44.35
1927.916667,28.22
1928,31.98
1928.083333,34.34
1928.166667,43.12
1928.25,48.06
1928.333333,61.52
1928.416667,65.91
1928.5,73.4
1928.583333,71.82
1928.666667,63.27
1928.75,55.08
1928.833333,41.58
1928.916667,32.94
1929,26.31
1929.083333,26.92
1929.166667,43.56
1929.25,51.17
1929.333333,58.86
1929.416667,67.5
1929.5,73.6
1929.583333,72.63
1929.666667,63.41
1929.75,53.92
1929.833333,38.41
1929.916667,33.96
1930,23.54
1930.083333,40.1
1930.166667,40.41
1930.25,54.41
1930.333333,59.23
1930.416667,68.41
1930.5,75.04
1930.583333,72.9
1930.666667,65.75
1930.75,51.69
1930.833333,41.09
1930.916667,31.17
1931,32.99
1931.083333,37.94
1931.166667,39.42
1931.25,51.06
1931.333333,59.43
1931.416667,70.7
1931.5,75.81
1931.583333,71.96
1931.666667,68.13
1931.75,56.57
1931.833333,43.38
1931.916667,35.06
1932,31.55
1932.083333,36.7
1932.166667,37.36
1932.25,51.6
1932.333333,60.51
1932.416667,69.24
1932.5,74.1
1932.583333,72.57
1932.666667,64.69
1932.75,52.32
1932.833333,40.75
1932.916667,29.41
1933,34.3
1933.083333,29.59
1933.166667,41.83
1933.25,49.84
1933.333333,59.83
1933.416667,71.56
1933.5,75.13
1933.583333,71.92
1933.666667,67.73
1933.75,55.2
1933.833333,42.53
1933.916667,36.43
1934,35.08
1934.083333,34.32
1934.166667,42.78
1934.25,53.74
1934.333333,64.71
1934.416667,70.68
1934.5,76.37
1934.583333,73.53
1934.666667,63.84
